tournament,eid,year,round,player_a,player_a_pid,player_b,player_b_pid,score_a,score_b,winner,winner_pid,loser,loser_pid
World Championship,244,1994,Last 24 Group 3rd,Dennis Priestley,8,Graeme Stoddart,1450,3,0,Dennis Priestley,8,Graeme Stoddart,1450
World Championship,244,1994,Last 24 Group 3rd,Graeme Stoddart,1450,Jocky Wilson,1794,3,1,Graeme Stoddart,1450,Jocky Wilson,1794
World Championship,244,1994,Last 24 Group 3rd,Dennis Priestley,8,Jocky Wilson,1794,3,2,Dennis Priestley,8,Jocky Wilson,1794
World Championship,244,1994,Last 24 Group 3rd,Larry Butler,1896,John Lowe,1433,3,2,Larry Butler,1896,John Lowe,1433
World Championship,244,1994,Last 24 Group 3rd,Tom Kirby,1394,Larry Butler,1896,3,1,Tom Kirby,1394,Larry Butler,1896
World Championship,244,1994,Last 24 Group 3rd,John Lowe,1433,Tom Kirby,1394,3,2,John Lowe,1433,Tom Kirby,1394
World Championship,244,1994,Last 24 Group 3rd,Rod Harrington,1502,Sean Downs,1340,3,2,Rod Harrington,1502,Sean Downs,1340
World Championship,244,1994,Last 24 Group 3rd,Eric Bristow,1541,Sean Downs,1340,3,2,Eric Bristow,1541,Sean Downs,1340
World Championship,244,1994,Last 24 Group 3rd,Rod Harrington,1502,Eric Bristow,1541,3,1,Rod Harrington,1502,Eric Bristow,1541
World Championship,244,1994,Last 24 Group 3rd,Peter Evison,1447,Kevin Burrows,1994,3,0,Peter Evison,1447,Kevin Burrows,1994
World Championship,244,1994,Last 24 Group 3rd,Jerry Umberger,1813,Kevin Burrows,1994,3,0,Jerry Umberger,1813,Kevin Burrows,1994
World Championship,244,1994,Last 24 Group 3rd,Peter Evison,1447,Jerry Umberger,1813,3,0,Peter Evison,1447,Jerry Umberger,1813
World Championship,244,1994,Last 24 Group 3rd,Alan Warriner-Little,26,Cliff Lazarenko,1439,3,1,Alan Warriner-Little,26,Cliff Lazarenko,1439
World Championship,244,1994,Last 24 Group 3rd,Ritchie Gardner,488,Cliff Lazarenko,1439,3,1,Ritchie Gardner,488,Cliff Lazarenko,1439
World Championship,244,1994,Last 24 Group 3rd,Alan Warriner-Little,26,Ritchie Gardner,488,3,1,Alan Warriner-Little,26,Ritchie Gardner,488
World Championship,244,1994,Last 24 Group 3rd,Steve Brown (US),1548,Kevin Spiolek,1400,3,0,Steve Brown (US),1548,Kevin Spiolek,1400
World Championship,244,1994,Last 24 Group 3rd,Steve Brown (US),1548,Keith Deller,1379,3,1,Steve Brown (US),1548,Keith Deller,1379
World Championship,244,1994,Last 24 Group 3rd,Kevin Spiolek,1400,Keith Deller,1379,3,1,Kevin Spiolek,1400,Keith Deller,1379
World Championship,244,1994,Last 24 Group 3rd,Phil Taylor,1,Jim Watkins,1993,3,0,Phil Taylor,1,Jim Watkins,1993
World Championship,244,1994,Last 24 Group 3rd,Jim Watkins,1993,Jamie Harvey,49,3,2,Jim Watkins,1993,Jamie Harvey,49
World Championship,244,1994,Last 24 Group 3rd,Phil Taylor,1,Jamie Harvey,49,3,1,Phil Taylor,1,Jamie Harvey,49
World Championship,244,1994,Last 24 Group 3rd,Bob Anderson,28,Dave Kelly (US),1759,3,0,Bob Anderson,28,Dave Kelly (US),1759
World Championship,244,1994,Last 24 Group 3rd,Gerald Verrier,1992,Dave Kelly (US),1759,3,0,Gerald Verrier,1992,Dave Kelly (US),1759
World Championship,244,1994,Last 24 Group 3rd,Bob Anderson,28,Gerald Verrier,1992,3,0,Bob Anderson,28,Gerald Verrier,1992
World Championship,244,1994,3rd Place Match,Steve Brown (US),1548,Peter Evison,1447,5,1,Steve Brown (US),1548,Peter Evison,1447
World Championship,244,1994,Quarter Final,Dennis Priestley,8,Tom Kirby,1394,4,2,Dennis Priestley,8,Tom Kirby,1394
World Championship,244,1994,Quarter Final,Peter Evison,1447,Rod Harrington,1502,4,1,Peter Evison,1447,Rod Harrington,1502
World Championship,244,1994,Quarter Final,Steve Brown (US),1548,Alan Warriner-Little,26,4,3,Steve Brown (US),1548,Alan Warriner-Little,26
World Championship,244,1994,Quarter Final,Phil Taylor,1,Bob Anderson,28,4,2,Phil Taylor,1,Bob Anderson,28
World Championship,244,1994,Semi Final,Dennis Priestley,8,Peter Evison,1447,5,3,Dennis Priestley,8,Peter Evison,1447
World Championship,244,1994,Semi Final,Phil Taylor,1,Steve Brown (US),1548,5,0,Phil Taylor,1,Steve Brown (US),1548
World Championship,244,1994,Final,Dennis Priestley,8,Phil Taylor,1,6,1,Dennis Priestley,8,Phil Taylor,1
World Championship,243,1995,Last 24 Group 3rd,Rod Harrington,1502,Shayne Burgess,1455,3,2,Rod Harrington,1502,Shayne Burgess,1455
World Championship,243,1995,Last 24 Group 3rd,Eric Bristow,1541,Shayne Burgess,1455,3,0,Eric Bristow,1541,Shayne Burgess,1455
World Championship,243,1995,Last 24 Group 3rd,Rod Harrington,1502,Eric Bristow,1541,3,0,Rod Harrington,1502,Eric Bristow,1541
World Championship,243,1995,Last 24 Group 3rd,Jamie Harvey,49,Jim Watkins,1993,3,2,Jamie Harvey,49,Jim Watkins,1993
World Championship,243,1995,Last 24 Group 3rd,Steve Brown (US),1548,Jim Watkins,1993,3,0,Steve Brown (US),1548,Jim Watkins,1993
World Championship,243,1995,Last 24 Group 3rd,Jamie Harvey,49,Steve Brown (US),1548,3,1,Jamie Harvey,49,Steve Brown (US),1548
World Championship,243,1995,Last 24 Group 3rd,Peter Evison,1447,Cliff Lazarenko,1439,3,0,Peter Evison,1447,Cliff Lazarenko,1439
World Championship,243,1995,Last 24 Group 3rd,Cliff Lazarenko,1439,Graeme Stoddart,1450,3,2,Cliff Lazarenko,1439,Graeme Stoddart,1450
World Championship,243,1995,Last 24 Group 3rd,Peter Evison,1447,Graeme Stoddart,1450,3,2,Peter Evison,1447,Graeme Stoddart,1450
World Championship,243,1995,Last 24 Group 3rd,Kevin Spiolek,1400,Larry Butler,1896,3,0,Kevin Spiolek,1400,Larry Butler,1896
World Championship,243,1995,Last 24 Group 3rd,Larry Butler,1896,Keith Deller,1379,3,2,Larry Butler,1896,Keith Deller,1379
World Championship,243,1995,Last 24 Group 3rd,Kevin Spiolek,1400,Keith Deller,1379,3,1,Kevin Spiolek,1400,Keith Deller,1379
World Championship,243,1995,Last 24 Group 3rd,Dennis Smith,31,Tom Kirby,1394,3,1,Dennis Smith,31,Tom Kirby,1394
World Championship,243,1995,Last 24 Group 3rd,Alan Warriner-Little,26,Tom Kirby,1394,3,2,Alan Warriner-Little,26,Tom Kirby,1394
World Championship,243,1995,Last 24 Group 3rd,Dennis Smith,31,Alan Warriner-Little,26,3,1,Dennis Smith,31,Alan Warriner-Little,26
World Championship,243,1995,Last 24 Group 3rd,John Lowe,1433,Jocky Wilson,1794,3,0,John Lowe,1433,Jocky Wilson,1794
World Championship,243,1995,Last 24 Group 3rd,Dennis Priestley,8,Jocky Wilson,1794,3,2,Dennis Priestley,8,Jocky Wilson,1794
World Championship,243,1995,Last 24 Group 3rd,John Lowe,1433,Dennis Priestley,8,3,0,John Lowe,1433,Dennis Priestley,8
World Championship,243,1995,Last 24 Group 3rd,Phil Taylor,1,Sean Downs,1340,3,1,Phil Taylor,1,Sean Downs,1340
World Championship,243,1995,Last 24 Group 3rd,Sean Downs,1340,Gerald Verrier,1992,3,0,Sean Downs,1340,Gerald Verrier,1992
World Championship,243,1995,Last 24 Group 3rd,Phil Taylor,1,Gerald Verrier,1992,3,2,Phil Taylor,1,Gerald Verrier,1992
World Championship,243,1995,Last 24 Group 3rd,Bob Anderson,28,Ritchie Gardner,488,3,1,Bob Anderson,28,Ritchie Gardner,488
World Championship,243,1995,Last 24 Group 3rd,Ritchie Gardner,488,Jerry Umberger,1813,3,1,Ritchie Gardner,488,Jerry Umberger,1813
World Championship,243,1995,Last 24 Group 3rd,Bob Anderson,28,Jerry Umberger,1813,3,1,Bob Anderson,28,Jerry Umberger,1813
World Championship,243,1995,3rd Place Match,John Lowe,1433,Peter Evison,1447,4,2,John Lowe,1433,Peter Evison,1447
World Championship,243,1995,Quarter Final,Rod Harrington,1502,Jamie Harvey,49,4,2,Rod Harrington,1502,Jamie Harvey,49
World Championship,243,1995,Quarter Final,Peter Evison,1447,Kevin Spiolek,1400,4,1,Peter Evison,1447,Kevin Spiolek,1400
World Championship,243,1995,Quarter Final,John Lowe,1433,Dennis Smith,31,4,0,John Lowe,1433,Dennis Smith,31
World Championship,243,1995,Quarter Final,Phil Taylor,1,Bob Anderson,28,4,1,Phil Taylor,1,Bob Anderson,28
World Championship,243,1995,Semi Final,Rod Harrington,1502,Peter Evison,1447,5,1,Rod Harrington,1502,Peter Evison,1447
World Championship,243,1995,Semi Final,Phil Taylor,1,John Lowe,1433,5,4,Phil Taylor,1,John Lowe,1433
World Championship,243,1995,Final,Phil Taylor,1,Rod Harrington,1502,6,2,Phil Taylor,1,Rod Harrington,1502
World Championship,242,1996,Last 24 Group 3rd,Phil Taylor,1,Cliff Lazarenko,1439,3,0,Phil Taylor,1,Cliff Lazarenko,1439
World Championship,242,1996,Last 24 Group 3rd,Shayne Burgess,1455,Cliff Lazarenko,1439,3,1,Shayne Burgess,1455,Cliff Lazarenko,1439
World Championship,242,1996,Last 24 Group 3rd,Phil Taylor,1,Shayne Burgess,1455,3,0,Phil Taylor,1,Shayne Burgess,1455
World Championship,242,1996,Last 24 Group 3rd,Keith Deller,1379,Sean Downs,1340,3,1,Keith Deller,1379,Sean Downs,1340
World Championship,242,1996,Last 24 Group 3rd,Keith Deller,1379,Kevin Spiolek,1400,3,2,Keith Deller,1379,Kevin Spiolek,1400
World Championship,242,1996,Last 24 Group 3rd,Sean Downs,1340,Kevin Spiolek,1400,3,0,Sean Downs,1340,Kevin Spiolek,1400
World Championship,242,1996,Last 24 Group 3rd,John Lowe,1433,Tom Kirby,1394,3,2,John Lowe,1433,Tom Kirby,1394
World Championship,242,1996,Last 24 Group 3rd,Tom Kirby,1394,Dennis Smith,31,3,1,Tom Kirby,1394,Dennis Smith,31
World Championship,242,1996,Last 24 Group 3rd,John Lowe,1433,Dennis Smith,31,3,0,John Lowe,1433,Dennis Smith,31
